usuario_id,pelicula_id,calificacion
agusricc@hotmail.es,1184918,4
agusricc@hotmail.es,945961,3
agusricc@hotmail.es,933260,2
agusricc@hotmail.es,533535,2
agusricc@hotmail.es,1029235,1
agusricc@hotmail.es,917496,4
agusricc@hotmail.es,1125510,5
agusricc@hotmail.es,519182,4
agusricc@hotmail.es,1022789,3
agusricc@hotmail.es,1034541,2
agosxx@hotmail.com,1184918,4
agosxx@hotmail.com,945961,3
agosxx@hotmail.com,933260,2
agosxx@hotmail.com,533535,1
agosxx@hotmail.com,1029235,4
agosxx@hotmail.com,917496,5
agosxx@hotmail.com,1125510,3
agosxx@hotmail.com,519182,2
agosxx@hotmail.com,1022789,1
agosxx@hotmail.com,1034541,3
pepe,1184918,3
pepe,945961,2
pepe,933260,3
pepe,533535,4
pepe,1029235,1
pepe,917496,2
pepe,1125510,3
pepe,519182,4
pepe,1022789,5
pepe,1034541,3
nico,1184918,2
nico,945961,3
nico,933260,2
nico,533535,1
nico,1029235,2
nico,917496,3
nico,1125510,4
nico,519182,5
nico,1022789,3
nico,1034541,2
usuario2@gmail.com,1184918,3
usuario2@gmail.com,945961,5
usuario2@gmail.com,933260,4
usuario2@gmail.com,533535,1
usuario2@gmail.com,1029235,2
usuario2@gmail.com,917496,5
usuario2@gmail.com,1125510,3
usuario2@gmail.com,519182,2
usuario2@gmail.com,1022789,4
usuario2@gmail.com,1034541,1
usuario3@yahoo.com,1184918,2
usuario3@yahoo.com,945961,4
usuario3@yahoo.com,933260,3
usuario3@yahoo.com,533535,5
usuario3@yahoo.com,1029235,2
usuario3@yahoo.com,917496,1
usuario3@yahoo.com,1125510,4
usuario3@yahoo.com,519182,3
usuario3@yahoo.com,1022789,5
usuario3@yahoo.com,1034541,2
usuario4@hotmail.com,1184918,1
usuario4@hotmail.com,945961,2
usuario4@hotmail.com,933260,3
usuario4@hotmail.com,533535,4
usuario4@hotmail.com,1029235,5
usuario4@hotmail.com,917496,3
usuario4@hotmail.com,1125510,2
usuario4@hotmail.com,519182,4
usuario4@hotmail.com,1022789,1
usuario4@hotmail.com,1034541,5
usuario5@gmail.com,1184918,5
usuario5@gmail.com,945961,3
usuario5@gmail.com,933260,2
usuario5@gmail.com,533535,4
usuario5@gmail.com,1029235,1
usuario5@gmail.com,917496,2
usuario5@gmail.com,1125510,5
usuario5@gmail.com,519182,4
usuario5@gmail.com,1022789,3
usuario5@gmail.com,1034541,4
pepe123@hotmail.com,1034541,4
pepe123@hotmail.com,912649,3
pepe123@hotmail.com,1184918,2
pepe123@hotmail.com,933260,3
pepe123@hotmail.com,698687,4
pepe123@hotmail.com,889737,3
pepe123@hotmail.com,945961,2
pepe123@hotmail.com,1022789,1
pepe123@hotmail.com,335983,3
pepe123@hotmail.com,533535,4
milei123@hotmail.com,1034541,3
milei123@hotmail.com,912649,1
milei123@hotmail.com,1184918,2
milei123@hotmail.com,933260,3
milei123@hotmail.com,698687,4
milei123@hotmail.com,889737,1
milei123@hotmail.com,945961,1
milei123@hotmail.com,1022789,1
milei123@hotmail.com,335983,4
milei123@hotmail.com,533535,5
slides121@hotmail.es,1034541,1
slides121@hotmail.es,912649,2
slides121@hotmail.es,1184918,3
slides121@hotmail.es,933260,1
slides121@hotmail.es,698687,2
slides121@hotmail.es,889737,4
slides121@hotmail.es,945961,2
slides121@hotmail.es,1022789,1
slides121@hotmail.es,335983,2
slides121@hotmail.es,533535,3
asd,1034541,2
asd,912649,1
asd,1184918,2
asd,933260,3
asd,698687,4
asd,889737,3
asd,945961,2
asd,1022789,1
asd,335983,4
asd,533535,3
agustin,1034541,3
agustin,912649,2
agustin,1184918,1
agustin,933260,4
agustin,698687,3
agustin,889737,2
agustin,945961,1
agustin,1022789,3
agustin,335983,4
agustin,533535,5
